Visited Landing Page,A
Submitted Search,B
Viewed Product Category,C
Viewed Product,D
Experiment Viewed,E
Added Product,F
Clicked More Results,G
Clicked Product Category,H
Viewed Checkout Step,I
Product List Filtered,J
Experiment Won,K
Completed Order,L
Checkout email,M
Clicked Payment Button,N
Completed Checkout Step,O
Experiment Play,P
Sign In,Q
Session Warning,R
Session Alert,S
Link Clicked,T
Experiment Win,U
Contacted Support,V
Sign Up,W
Selected Fare,X
Business Visited,Y
Cache Expired,Z
Affiliates Visited,!
Create Order Generic Error,\
Clicked Invoice Request,$
Gift Card,%
Alcitour Test Started,&
Alcitour Test Completed, /
Alcitour Visited,#
Search,[
Results,@
Result,_
Flight Overlay,+
Flight Details,-
